Project ID,Project Name,Project local script,Fuel type,Country/Area,Subnational unit,Production Type,Status,Status detail,Status year,Discovery year,FID Year,Production start year,Operator,Owner(s),Parent(s),Government unit ID,Units (list of IDs),Wiki URL (project),Name Other,Latitude,Longitude,Location accuracy,Project location type,Onshore/Offshore,Project outline (WKT),Basin,Block(s)
L100000318404,Colibri Gas Project (Trinidad and Tobago),,gas,Trinidad and Tobago,,conventional,operating,,2022,,2020,2022,Shell TT,Shell TT [90%]; Heritage Petroleum Co Ltd [10%],Shell PLC [90.0%]; Heritage Petroleum Co Ltd [10.0%],,"L100000318404, L100000310910",https://www.gem.wiki/Colibri_Gas_Project_(Trinidad_and_Tobago),,11.4939000,-60.6380000,approximate,project level location,offshore,,Columbus,Block 22
L100000313121,Coral/Coral South Gas Project (Mozambique),,gas,Mozambique,,conventional,operating,,2022,2012,,2022,Eni,Exxon Mobil Corp [0%]; Empresa Nacional de Hidrocarbonetos EP [10%]; China National Petroleum Corp [0%]; Korea Gas Corp [10%]; Eni SpA [0%],Empresa Nacional de Hidrocarbonetos EP [10.0%]; Korea Gas Corp [10.0%]; China National Petroleum Corp; Eni SpA; Exxon Mobil Corp,,,https://www.gem.wiki/Coral/Coral_South_Gas_Project_(Mozambique),,-11.1804000,41.3188000,approximate,project level location,offshore,,Rovuma,Area 4
L100000324214,Corridor Block Oil and Gas Project (Indonesia),,oil and gas,Indonesia,,conventional,operating,,2024,,,1998,Medco E&P Grissik,PT Pertamina Hulu Energi Corridor [30%]; Medco E&P Grissik Ltd [70%],Medco E&P Grissik Ltd [70.0%]; PT Pertamina Hulu Energi Corridor [30.0%],,"L100000312861, L100000312830, L100000312863",https://www.gem.wiki/Corridor_Block_Oil_and_Gas_Project_(Indonesia),,-2.5190000,103.3880000,approximate,project level location,onshore,"MULTIPOLYGON (((103.595931 -2.238607,103.683333 -2.29,103.683333 -2.3,103.699949 -2.3,103.699998 -2.333359,103.756667 -2.333333,103.783333 -2.35,103.783333 -2.433333,103.733333 -2.433333,103.733333 -2.416667,103.7 -2.416667,103.7 -2.45,103.766667 -2.45,103.766667 -2.466667,103.783333 -2.466667,103.783333 -2.533333,103.816667 -2.533333,103.816667 -2.566667,103.866667 -2.566667,103.866667 -2.533333,103.9 -2.533333,103.9 -2.566667,103.916667 -2.566667,103.916667 -2.583333,103.983333 -2.583333,103.983333 -2.516667,104.05 -2.516667,104.05 -2.533333,104.1 -2.533333,104.1 -2.5,104.133333 -2.5,104.133333 -2.483333,104.15 -2.483333,104.15 -2.466667,104.2 -2.466667,104.2 -2.483333,104.216667 -2.483333,104.25 -2.483333,104.25 -2.55,104.2 -2.55,104.2 -2.583333,104.183333 -2.583333,104.183333 -2.616667,104.233333 -2.616667,104.233333 -2.65,104.233333 -2.666667,104.216667 -2.666667,104.216667 -2.683333,104.133333 -2.715079,104.133333 -2.7,104.1 -2.7,104.1 -2.716667,104.066667 -2.716667,104.066667 -2.7,104.033333 -2.7,104.033333 -2.716667,104.0 -2.716667,104.0 -2.683333,103.833333 -2.683333,103.833333 -2.633333,103.8 -2.633333,103.8 -2.616667,103.783333 -2.616667,103.783333 -2.566667,103.683333 -2.566667,103.683333 -2.55,103.666667 -2.55,103.666667 -2.516667,103.633333 -2.516667,103.633333 -2.5,103.616667 -2.5,103.616667 -2.466667,103.566667 -2.466667,103.566667 -2.45,103.55 -2.45,103.55 -2.416667,103.516667 -2.416667,103.516667 -2.4,103.483333 -2.4,103.483333 -2.383333,103.45 -2.383333,103.45 -2.366667,103.416667 -2.366667,103.416667 -2.383333,103.371667 -2.383333,103.366667 -2.38,103.366667 -2.366667,103.351714 -2.366667,103.35 -2.364977,103.35 -2.331667,103.433333 -2.3,103.433333 -2.316667,103.416667 -2.316667,103.416667 -2.333333,103.45 -2.333333,103.45 -2.316667,103.466667 -2.316667,103.466667 -2.286667,103.595931 -2.238607),(104.088889 -2.575,104.088889 -2.580556,104.091667 -2.580556,104.091667 -2.586111,104.094444 -2.586111,104.094444 -2.591667,104.097222 -2.591667,104.097222 -2.597222,104.1 -2.597222,104.1 -2.602778,104.102778 -2.602778,104.102778 -2.608333,104.105556 -2.608333,104.105556 -2.616667,104.108333 -2.616667,104.108333 -2.625,104.111111 -2.625,104.111111 -2.633333,104.113889 -2.633333,104.115 -2.635556,104.132222 -2.653889,104.147778 -2.67,104.15 -2.672222,104.15 -2.675,104.152778 -2.675,104.152778 -2.677778,104.155556 -2.677778,104.155556 -2.680556,104.161111 -2.680556,104.161111 -2.683333,104.163889 -2.683333,104.163889 -2.686111,104.166667 -2.686111,104.166664 -2.689106,104.174582 -2.689092,104.184884 -2.671889,104.152133 -2.65019,104.159595 -2.621295,104.159594 -2.600496,104.152778 -2.597222,104.147903 -2.594896,104.145378 -2.59601,104.132358 -2.585479,104.1 -2.577482,104.1 -2.575,104.088889 -2.575),(103.886111 -2.622222,103.886111 -2.633333,103.883333 -2.633333,103.883333 -2.644444,103.880561 -2.644444,103.880556 -2.655556,103.914409 -2.655551,103.91441 -2.653604,103.900591 -2.627128,103.9 -2.627127,103.9 -2.625,103.894444 -2.625,103.894444 -2.622222,103.886111 -2.622222)),((103.333333 -2.483333,103.366667 -2.483333,103.366667 -2.5,103.416667 -2.5,103.416667 -2.533333,103.433333 -2.533333,103.433333 -2.583333,103.45 -2.583333,103.45 -2.6,103.466667 -2.6,103.466667 -2.616667,103.483333 -2.616667,103.483333 -2.633333,103.536667 -2.716667,103.503333 -2.716667,103.466667 -2.663333,103.466667 -2.633333,103.445 -2.633333,103.433333 -2.616667,103.383333 -2.616667,103.3 -2.5,103.333333 -2.5,103.333333 -2.483333)),((103.616667 -2.733333,103.616667 -2.788278,103.604167 -2.825556,103.633333 -2.863194,103.633333 -2.907956,103.603362 -2.919861,103.566675 -2.872218,103.566667 -2.817917,103.571111 -2.809722,103.566667 -2.803611,103.566667 -2.75,103.583333 -2.75,103.583333 -2.716667,103.6 -2.716667,103.6 -2.733333,103.616667 -2.733333)),((104.083361 -2.048689,104.083323 -2.116667,104.016667 -2.116667,104.016667 -2.074444,104.083361 -2.048689)),((103.916667 -2.283333,103.95 -2.283333,103.95 -2.3,103.966667 -2.3,103.966667 -2.316667,103.983333 -2.316667,103.983333 -2.331911,103.976389 -2.33,103.981089 -2.333333,103.953472 -2.333333,103.95 -2.329639,103.95 -2.316667,103.933333 -2.316667,103.933333 -2.3,103.916667 -2.3,103.916667 -2.283333)))",,Corridor
L100000305178,Cruces Manueles Oil Project (Venezuela),Cruces Manueles,oil,Venezuela,,,operating,,2016,1916,,,,,,,L100000305178,https://www.gem.wiki/Cruces_Manueles_Oil_Project_(Venezuela),,8.8100000,-72.5010000,exact,project level location,onshore,"MULTIPOLYGON (((-72.5019535429282 8.87150189991294,-72.465571828425 8.91697904304198,-72.4504127807153 8.868470090371,-72.4564763997991 8.80783389953227,-72.5201444001798 8.71991142281612,-72.5413670669734 8.72597504189999,-72.5625897337669 8.77751580411291,-72.5019535429282 8.87150189991294)))",Maracaibo,
L100000304755,"Cusiana Oil and Gas Project (Casanare, Colombia)",Cusiana,oil and gas,Colombia,Casanare,conventional,operating,,2024,1989,,,Ecopetrol,Ecopetrol SA [100%],Ecopetrol SA [100.0%],,"L100000304755, L100000303243, L100000302940","https://www.gem.wiki/Cusiana_Oil_and_Gas_Project_(Casanare,_Colombia)",,4.9280000,-72.7260000,approximate,project level location,onshore,,,Río Chitamena; Tauramena
L100000324167,Cypre Gas Project (Trinidad and Tobago),,gas,Trinidad and Tobago,,conventional,operating,ramp up,2025,,,2025,BP Trinidad & Tobago,BP Trinidad & Tobago LLC [100%],BP PLC [70.0%]; Repsol SA [30.0%],,L100000310918,https://www.gem.wiki/Cypre_Gas_Project_(Trinidad_and_Tobago),,10.0310000,-60.2898000,approximate,project level location,offshore,,Columbus,East Mayaro; East Mayaro Block
L100000310829,"Dagang Oil Project (Tianjin, China)",大港,oil,China,Tianjin,conventional,operating,,2025,1963,,1965,PetroChina Dagang Oilfield,PetroChina Dagang Oilfield Co [100%],PetroChina Co Ltd [100.0%],,L100000310829,"https://www.gem.wiki/Dagang_Oil_Project_(Tianjin,_China)",,38.4469000,117.2911000,exact,project level location,onshore,,Bohai Bay,
L100000312764,Dalia-Camelia Oil Project (Angola),,oil,Angola,,conventional,operating,,2024,1997,2003,2006,Total E&P Angola,TotalEnergies SE [33%]; Other [10%]; Azule Energy Holdings Ltd [15%]; Equinor ASA [22%]; Esso Exploration Angola (block 17) Ltd [19%],TotalEnergies SE [33.0%]; Equinor ASA [22.2%]; Exxon Mobil Corp [19.0%]; Other [10.0%]; BP PLC; Eni SpA,,L100000312764,https://www.gem.wiki/Dalia-Camelia_Oil_Project_(Angola),,-7.6818000,11.7542000,exact,project level location,offshore,,,Block 17
L100000310820,"Daqing Oil and Gas Project (Heilongjiang, China)",大庆,oil and gas,China,Heilongjiang,mixed,operating,,2025,1959,,1962,Daqing Oilfield,PetroChina Co Ltd [100%],PetroChina Co Ltd [100.0%],,"L100000321362, L100000321368, L100000321369, L100000320820, L100000321279, L100000321360, L100000321361, L100000310878, L100000321366, L100000321367, L100000321359, L100000310820, L100000320804, L100000320816, L100000321268, L100000321358, L100000321357, L100000319169, L100000319170","https://www.gem.wiki/Daqing_Oil_and_Gas_Project_(Heilongjiang,_China)",,46.8365000,124.7186000,approximate,project level location,onshore,,Songliao,
L100000321180,"Dongfang 13-3 Gas Project (Hainan, China)",东方13-3,gas,China,Hainan,conventional,operating,ramp up,2025,,,2025,CNOOC,CNOOC Ltd [100%],CNOOC Ltd [100.0%],,"L100000321135, L100000321180, L100000321131, L100000321136","https://www.gem.wiki/Dongfang_13-3_Gas_Project_(Hainan,_China)",,18.6586000,107.6452000,exact,project level location,offshore,,Yinggehai,Block 16/08
L100000311975,Eastern Fields Oil and Gas Project (Iraq),,oil and gas,Iraq,,conventional,in-development,,2018,1927,,,,,,,"L100000311975, L100000317054, L100000317055, L100000317057, L100000317056",https://www.gem.wiki/Eastern_Fields_Oil_and_Gas_Project_(Iraq),,34.5060000,44.9700000,approximate,project level location,onshore,,,
L100000312755,East Hub Oil Project (Angola),,oil,Angola,,conventional,operating,,2022,,,,Azule Energy Holdings,Other [15%]; Eni SpA [35%]; SSI Fifteen Ltd [20%]; Sonangol Pesquisa e Produção SA [15%]; TotalEnergies SE [15%],Eni SpA [35.0%]; Other [15.0%]; Sonangol EP [15.0%]; TotalEnergies SE [15.0%]; Sinopec Corp [11.0%]; Dayuan [6.3%]; CS control [2.7%],,"L100000312757, L100000312756, L100000317053, L100000312755",https://www.gem.wiki/East_Hub_Oil_Project_(Angola),,-6.2720000,11.2208000,approximate,project level location,offshore,,,Block 15/06
L100000313119,Eban/Akoma Oil and Gas Project (Ghana),,oil and gas,Ghana,,conventional,in-development,,2022,2021,2022,,Eni,Vitol [34%]; Eni SpA [42%]; Woodfields Energy Resources Ltd [9%]; Ghana National Petroleum Co [10%]; GNPC Explorco [4%],Eni SpA [42.5%]; Vitol Holding II SA [34.0%]; Ghana National Petroleum Co [10.0%]; Woodfields Energy Resources Ltd [9.6%]; Ghana National Petroleum Corp [4.0%],,"L100000317059, L100000317058, L100000313119",https://www.gem.wiki/Eban/Akoma_Oil_and_Gas_Project_(Ghana),,,,,,unknown,,,CTP Block 4
L100000311032,Ebendo/Obodeti Oil and Gas Project (Nigeria),,oil and gas,Nigeria,,conventional,operating,,2015,,,,Enegia,Oando Production and Development Ltd [45%]; Enegia Ltd [55%],Enegia Ltd [55.0%]; Oando PLC [45.0%],,"L100000311032, L100000317060, L100000317061",https://www.gem.wiki/Ebendo/Obodeti_Oil_and_Gas_Project_(Nigeria),,,,,,onshore,,,OML 152; PML 23
L100000301998,Elgin-Franklin Oil and Gas Project (United Kingdom),,oil and gas,United Kingdom,,conventional,operating,,2020,1986,1997,2001,TotalEnergies,Harbour Energy PLC [19%]; Ithaca Energy (UK) Ltd [21%]; TotalEnergies SE [25%]; other [22%]; EF Oil & Gas Ltd [10%],TotalEnergies SE [25.7%]; other [22.9%]; Harbour Energy PLC [19.3%]; EF Oil & Gas Ltd [10.4%]; Ithaca Energy PLC,,"L100000301997, L100000302247, L100000301998, L100000302018",https://www.gem.wiki/Elgin-Franklin_Oil_and_Gas_Project_(United_Kingdom),,56.9747000,1.8542000,exact,project level location,offshore,,,022/30c; 029/04b
L100000320846,"Enping 15-1 Oil Project (Guangdong, China)",恩平15-1,oil,China,Guangdong,conventional,operating,,2025,,,2024,CNOOC,CNOOC Ltd [100%],CNOOC Ltd [100.0%],,"L100000321221, L100000321223, L100000321220, L100000320846, L100000321222, L100000321219, L100000321224","https://www.gem.wiki/Enping_15-1_Oil_Project_(Guangdong,_China)",,20.5885120,113.4759090,exact,project level location,offshore,,Zhujiangkou,
L100000310818,"Equus Gas Oil and Gas Project (Western Australia, Australia)",,oil and gas,Australia,Western Australia,conventional,discovered,,2025,2008,,,Equus Energy,Equus Energy Ltd Co [100%],Equus Energy Ltd Co [100.0%],,"L100000310194, L100000310818, L100000310186, L100000317062","https://www.gem.wiki/Equus_Gas_Oil_and_Gas_Project_(Western_Australia,_Australia)",,-13.9887830,121.9757470,exact,project level location,offshore,,Northern Carnarvon,WA-390-P; WA-70R
L100000319158,Etinde Oil and Gas Project (Cameroon),,oil and gas,Cameroon,,conventional,discovered,,2024,1967,,,New Age,Bowleven [25%]; LUKOIL PJSC [37%]; New Age [37%],LUKOIL PJSC [37.5%]; Bowleven [25.0%]; Hopu [18.4%]; Kerogen Capital [10.9%],,L100000319158,https://www.gem.wiki/Etinde_Oil_and_Gas_Project_(Cameroon),Isongo,4.0258000,8.5806000,approximate,project level location,offshore,,Rio del Rey,Etinde
L100000312288,Fateh/Fateh Southwest/Falah Oil and Gas Project (United Arab Emirates),,oil and gas,United Arab Emirates,,conventional,operating,,2023,,,1976,Dubai Petroleum Establishment,Dubai Petroleum Establishment [100%],Dubai Petroleum Establishment [100.0%],,"L100000312277, L100000312278, L100000312288, L100000312279",https://www.gem.wiki/Fateh/Fateh_Southwest/Falah_Oil_and_Gas_Project_(United_Arab_Emirates),,25.5530000,54.3340000,approximate,project level location,offshore,,,
L100001064342,Gabar Oil Project (Türkiye),,oil,Türkiye,,conventional,operating,,2025,,,,Türkiye Petrolleri Anonim Ortakligi,Türkiye Petrolleri Anonim Ortakligi [100%],Türkiye Petrolleri Anonim Ortakligi [100.0%],,"L100000320697, L100000320696",https://www.gem.wiki/Gabar_Oil_Project_(Türkiye),,37.4375000,42.1290000,exact,project level location,onshore,,,
L100000318288,Galkynysh Oil and Gas Project (Turkmenistan),Galkynyş,oil and gas,Turkmenistan,,conventional,operating,,2022,2006,,2013,Turkmengas State Concern,Galkynyshnebit [100%],Galkynyshnebit [100.0%],,"L100000318347, L100000318288, L100001062717",https://www.gem.wiki/Galkynysh_Oil_and_Gas_Project_(Turkmenistan),"South Yoloten, South Ýolöten – Osman, Lolotan",37.1162000,62.3585000,exact,project level location,onshore,,,
L100000312618,Gassi El Agreb Oil Project (Algeria),,oil,Algeria,,conventional,operating,,2021,1959,,1960,SonaHess,Hess Corp [49%]; Sonatrach SpA [51%],Sonatrach SpA [51.0%]; Hess Corp [49.0%],,"L100000317063, L100000312618, L100000317064, L100000317065",https://www.gem.wiki/Gassi_El_Agreb_Oil_Project_(Algeria),,30.8840000,5.1430000,approximate,project level location,onshore,,,
L100000317414,Gbaran-Ubie Phase 2 Gas Project (Nigeria),,gas,Nigeria,,conventional,mothballed,,2024,,,2017,The Shell Petroleum Development Company of Nigeria,NNPC Ltd [55%]; The Shell Petroleum Development Company of Nigeria Ltd [30%]; TotalEnergies EP Nigeria Ltd [10%]; Nigerian Agip Oil Company Ltd [5%],NNPC Ltd [55.0%]; TotalEnergies SE [10.0%]; Oando PLC [5.0%]; Aradel Holdings PLC; First Exploration & Petroleum Development Co Ltd; ND Western Ltd; Petrolin Group; Waltersmith Petroman Oil Ltd,,,https://www.gem.wiki/Gbaran-Ubie_Phase_2_Gas_Project_(Nigeria),,4.9091000,6.2877000,approximate,project level location,onshore,,,OML 28
L100000300746,Gela Oil and Gas Project (Italy),,oil and gas,Italy,,conventional,operating,,2020,1956,,1957,Eni,,,,"L100000304592, L100000304590, L100000304591, L100000300746",https://www.gem.wiki/Gela_Oil_and_Gas_Project_(Italy),,37.0320000,14.2696000,exact,project level location,offshore,,,C.C 1.AG; Gela‐Agip
L100000314112,Ghawar Oil and Gas Project (Saudi Arabia),الغوار,oil and gas,Saudi Arabia,,mixed,operating,,2024,1948,,1951,Saudi Arabian Oil,Saudi Arabian Oil Co [100%],Saudi Arabian Oil Co [100.0%],,"L100000314112, L100000320686, L100000319627, L100000319108, L100000319113",https://www.gem.wiki/Ghawar_Oil_and_Gas_Project_(Saudi_Arabia),,25.2130000,49.2558000,exact,project level location,onshore,,,
L100000317478,GirRI Oil Project (Angola),,oil,Angola,,conventional,operating,,2023,,,2011,TotalEnergies E&P Angola,TotalEnergies E&P Angola [33%]; other [10%]; Azule Energy Holdings Ltd [15%]; Esso SA [19%]; Equinor ASA [22%],TotalEnergies SE [33.0%]; Equinor ASA [22.2%]; Esso SA [19.0%]; other [10.0%]; BP PLC; Eni SpA,,L100000317478,https://www.gem.wiki/GirRI_Oil_Project_(Angola),"Girassol/Rosa/Jasmim Resource Initiative, Girassol Resources",-7.6654000,11.7062000,approximate,project level location,offshore,,,Block 17
L100000313977,GK-28/42 Gas Project (India),,gas,India,,conventional,discovered,,2024,2009,,,Oil and Natural Gas Corporation,Oil and Natural Gas Corporation Ltd [100%],Oil and Natural Gas Corporation Ltd [100.0%],,L100000313977,https://www.gem.wiki/GK-28/42_Gas_Project_(India),,22.5960000,69.6189000,approximate,project level location,offshore,,,
L100000314055,"Glenaras Gas Project (Queensland, Australia)",,gas,Australia,Queensland,unconventional,discovered,,2023,2023,,,Galilee Energy,Galilee Energy [100%],Galilee Energy [100.0%],,L100000314055,"https://www.gem.wiki/Glenaras_Gas_Project_(Queensland,_Australia)",,-23.1000000,144.7200000,exact,project level location,onshore,,Galilee,
L100000312874,GMB Tanjung Enim Block Gas Project (Indonesia),,gas,Indonesia,,unconventional,in-development,,2025,,2021,,Dart Energy (Tanjung Enim),PT Pertamina Hulu Energi Metra Enim [27%]; Dart Energy (Tanjung Enim) Pte Ltd [45%]; PT Bukit Asam Metana Enim [27%],Dart Energy (Tanjung Enim) Pte Ltd [45.0%]; PT Bukit Asam Metana Enim [27.5%]; PT Pertamina Hulu Energi Metra Enim [27.5%],,,https://www.gem.wiki/GMB_Tanjung_Enim_Block_Gas_Project_(Indonesia),,-3.7413000,103.9212000,approximate,project level location,onshore,"MULTIPOLYGON (((103.9252 -3.7687,103.925167 -3.876956,103.8755 -3.876956,103.8755 -3.948006,103.86511 -3.948006,103.865112 -3.946908,103.865652 -3.946909,103.865658 -3.942132,103.865097 -3.942152,103.865101 -3.939774,103.863896 -3.939772,103.863898 -3.938395,103.862901 -3.938394,103.862904 -3.936162,103.861429 -3.93616,103.861431 -3.93495,103.860496 -3.934949,103.860498 -3.933655,103.857984 -3.933652,103.857986 -3.932275,103.856076 -3.932231,103.856071 -3.935235,103.856902 -3.935236,103.856899 -3.937572,103.858041 -3.937595,103.858038 -3.939764,103.859596 -3.939766,103.859593 -3.942082,103.860736 -3.942083,103.860733 -3.944044,103.861688 -3.944046,103.861686 -3.94586,103.862226 -3.945861,103.862223 -3.948006,103.817017 -3.948006,103.817016 -3.908743,103.827496 -3.908758,103.827493 -3.911105,103.830168 -3.911109,103.830161 -3.922922,103.832437 -3.922922,103.832437 -3.92564,103.841875 -3.92564,103.841875 -3.922788,103.843513 -3.922788,103.84351 -3.924568,103.846272 -3.924572,103.846269 -3.926929,103.848117 -3.926932,103.848116 -3.927787,103.854555 -3.927796,103.854567 -3.919076,103.851638 -3.919072,103.851642 -3.916397,103.849097 -3.916393,103.8491 -3.913812,103.847014 -3.913809,103.847016 -3.91214,103.843319 -3.912135,103.843321 -3.910487,103.84087 -3.910483,103.840874 -3.907938,103.831881 -3.907926,103.831882 -3.906987,103.830823 -3.906986,103.830824 -3.906005,103.829412 -3.906003,103.829413 -3.905002,103.82744 -3.904999,103.827442 -3.903184,103.825926 -3.903182,103.825929 -3.901388,103.824682 -3.901386,103.824687 -3.898153,103.823067 -3.89813,103.823071 -3.895043,103.821638 -3.895041,103.82164 -3.89381,103.820581 -3.893808,103.820583 -3.891973,103.818859 -3.89197,103.818863 -3.889717,103.817741 -3.889716,103.817742 -3.888986,103.817015 -3.888985,103.817014 -3.869699,103.818298 -3.869701,103.818301 -3.867531,103.819132 -3.867533,103.819152 -3.86043,103.817969 -3.860428,103.817978 -3.853899,103.816513 -3.853886,103.816516 -3.851758,103.815852 -3.851758,103.815854 -3.850485,103.815085 -3.850484,103.815087 -3.849024,103.814215 -3.849023,103.814217 -3.847562,103.812909 -3.84756,103.812913 -3.84416,103.808573 -3.844154,103.808567 -3.848577,103.807341 -3.848596,103.80733 -3.856731,103.806333 -3.85673,103.80633 -3.859011,103.8 -3.859011,103.8 -3.822778,103.848056 -3.822778,103.848006 -3.802729,103.854984 -3.802738,103.854978 -3.807258,103.860475 -3.807266,103.860472 -3.809557,103.864011 -3.809562,103.864007 -3.812852,103.866702 -3.812855,103.866702 -3.813598,103.867612 -3.8136,103.86761 -3.81513,103.869353 -3.815132,103.869351 -3.817083,103.872086 -3.817087,103.872081 -3.82076,103.873467 -3.820756,103.873458 -3.823931,103.876567 -3.823935,103.876563 -3.827248,103.87861 -3.827251,103.878606 -3.830121,103.880244 -3.830123,103.880241 -3.832303,103.88261 -3.832307,103.882605 -3.83606,103.886933 -3.836066,103.886931 -3.837711,103.902116 -3.837731,103.902116 -3.837257,103.904161 -3.83726,103.904162 -3.835816,103.908198 -3.835821,103.908203 -3.831636,103.910072 -3.831638,103.910081 -3.824059,103.907976 -3.824057,103.90798 -3.820708,103.905991 -3.820705,103.905994 -3.818321,103.901256 -3.818315,103.901261 -3.81548,103.898766 -3.815477,103.898769 -3.81274,103.896515 -3.812737,103.896516 -3.811865,103.893291 -3.811861,103.893296 -3.808188,103.88951 -3.808183,103.889516 -3.803667,103.885907 -3.803663,103.885913 -3.799266,103.881535 -3.79926,103.881541 -3.79516,103.879115 -3.795157,103.879121 -3.790433,103.877343 -3.79043,103.877347 -3.786787,103.879256 -3.786789,103.879267 -3.777799,103.877354 -3.777797,103.877357 -3.774351,103.87616 -3.774349,103.876163 -3.772365,103.872571 -3.77236,103.872575 -3.769609,103.870974 -3.769607,103.870965 -3.768011,103.867414 -3.768007,103.867417 -3.765942,103.865018 -3.765938,103.865017 -3.763336,103.862691 -3.763333,103.862692 -3.762457,103.86128 -3.762455,103.861282 -3.760794,103.859824 -3.760792,103.859826 -3.759614,103.85723 -3.759602,103.857231 -3.758714,103.855091 -3.758711,103.855093 -3.756888,103.85273 -3.756884,103.852732 -3.754986,103.850559 -3.754983,103.850564 -3.750702,103.848176 -3.750698,103.848179 -3.748279,103.846435 -3.748276,103.846439 -3.745231,103.844611 -3.745228,103.844605 -3.74261,103.841884 -3.742607,103.841887 -3.740622,103.83898 -3.740619,103.838982 -3.738556,103.830904 -3.738545,103.830904 -3.739108,103.82417 -3.739106,103.82417 -3.736055,103.82037 -3.736055,103.82037 -3.734204,103.814933 -3.734204,103.814933 -3.731477,103.814408 -3.731477,103.814408 -3.7282,103.813939 -3.7282,103.813939 -3.726548,103.812421 -3.726548,103.812421 -3.727567,103.810241 -3.727567,103.810241 -3.727869,103.808971 -3.727869,103.808971 -3.728558,103.808006 -3.728558,103.808006 -3.729164,103.807509 -3.729164,103.807509 -3.733708,103.80795 -3.733708,103.80795 -3.736434,103.809247 -3.736434,103.809247 -3.737054,103.812697 -3.737054,103.812697 -3.747629,103.814067 -3.747629,103.81406 -3.752804,103.81298 -3.752802,103.812979 -3.753762,103.811895 -3.753761,103.811892 -3.755658,103.811107 -3.755657,103.811104 -3.758182,103.81164 -3.758181,103.811641 -3.759997,103.812846 -3.759999,103.812844 -3.761209,103.814256 -3.761211,103.814254 -3.762692,103.816144 -3.762695,103.816143 -3.763675,103.818884 -3.763679,103.818882 -3.764617,103.821395 -3.764642,103.821394 -3.765685,103.827436 -3.765693,103.827436 -3.766591,103.830417 -3.766591,103.830417 -3.773861,103.834299 -3.773861,103.834299 -3.778872,103.832983 -3.778872,103.832983 -3.784623,103.839854 -3.784623,103.839854 -3.776687,103.836185 -3.776687,103.836185 -3.76995,103.839835 -3.769954,103.839841 -3.772979,103.843962 -3.772985,103.843957 -3.776685,103.847695 -3.77669,103.84769 -3.781071,103.849225 -3.781073,103.849221 -3.783879,103.850178 -3.78388,103.850169 -3.79049,103.840507 -3.790477,103.840508 -3.789622,103.839346 -3.78962,103.839347 -3.788724,103.837187 -3.788721,103.837167 -3.788157,103.834903 -3.788154,103.834904 -3.787466,103.831371 -3.787461,103.831371 -3.787878,103.827968 -3.787874,103.827967 -3.788646,103.82643 -3.788643,103.826428 -3.789645,103.82593 -3.789644,103.825927 -3.791626,103.824391 -3.791624,103.824397 -3.8003,103.8011 -3.8003,103.801083 -3.773556,103.782079 -3.773556,103.782075 -3.743123,103.784752 -3.743126,103.784774 -3.726851,103.78207 -3.726849,103.782053 -3.675,103.801083 -3.675,103.801083 -3.709064,103.921833 -3.709061,103.921833 -3.742883,103.888333 -3.742883,103.8883 -3.7687,103.9252 -3.7687)),((103.7568 -3.7903,103.7568 -3.8041,103.7437 -3.8039,103.7437 -3.80805,103.737292 -3.80805,103.737292 -3.7903,103.7568 -3.7903)))",,GMB Tanjung Enim
L100000313123,Golfinho/Atum Oil and Gas Project (Mozambique),,oil and gas,Mozambique,,conventional,in-development,,2025,2012,2019,,TotalEnergies,TotalEnergies SE [26%]; ENH Rovuma Área Um SA [15%]; ONGC Videsh Rovuma Ltd [10%]; Other [28%]; Mitsui E&P Mozambique Area1 Ltd [20%],Other [28.5%]; TotalEnergies SE [26.5%]; Mitsui & Co Ltd [20.0%]; Empresa Nacional de Hidrocarbonetos de Mozambique [15.0%]; Oil and Natural Gas Corporation (ONGC) [10.0%],,,https://www.gem.wiki/Golfinho/Atum_Oil_and_Gas_Project_(Mozambique),,-10.5096000,40.8103000,approximate,project level location,offshore,,Rovuma,Area 1
L100000313066,"Gorgon Oil and Gas Project (Western Australia, Australia)",,oil and gas,Australia,Western Australia,conventional,operating,,2025,,2009,2016,Chevron Australia,JERA Co Inc [0%]; MidOcean Energy LLC [1%]; Shell PLC [25%]; Exxon Mobil Corp [25%]; Osaka Gas Co Ltd [1%]; Chevron Corp [47%],Chevron Corp [47.3%]; Exxon Mobil Corp [25.0%]; Shell PLC [25.0%]; Osaka Gas Co Ltd [1.2%]; Saudi Arabian Oil Co [0.5%]; Chubu Electric Power Co Inc [0.2%]; Tokyo Electric Power Co [0.2%]; EIG Global Energy Partners LLC; Mitsubishi Corp; unknown,,"L100000310109, L100000310011, L100000313066","https://www.gem.wiki/Gorgon_Oil_and_Gas_Project_(Western_Australia,_Australia)",,-20.4072000,114.8503000,exact,project level location,offshore,,Northern Carnarvon,WA-36-L; WA-37-L; WA-38-L; WA-39-L; WA-40-L
